['abs_double_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/abs_grad_kernel.cu', 'zhangyikun02', '2022-10-21']
['accuracy_check', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/accuracy_check_kernel.cu', 'chen2016013', '2024-06-14']
['adagrad_dense_param_sparse_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/adagrad_kernel.cu', 'hong', '2022-03-28']
['add_group_norm_silu', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/group_norm_kernel.cu', 'bukejiyu', '2024-06-04']
['add_n_array', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/add_n_kernel.cu', 'YuanRisheng', '2022-09-19']
['affine_channel', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/affine_channel_kernel.cu', 'co63oc', '2024-06-20']
['affine_channel_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/affine_channel_grad_kernel.cu', 'co63oc', '2024-06-20']
['all_reduce', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/all_reduce_kernel.cu', 'yu wentao', '2023-03-24']
['all_to_all', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/all_to_all_kernel.cu', 'wentao yu', '2023-06-27']
['arange_tensor', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/arange_kernel.cu', 'csy0225', '2022-03-31']
['asgd', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/asgd_kernel.cu', 'Winters Montagne', '2024-01-25']
['assign_pos', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/assign_pos_kernel.cu', 'Sonder', '2023-08-16']
['barrier', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/barrier_kernel.cu', 'ZhenxingLi', '2024-12-16']
['batch_fc', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/batch_fc_kernel.cu', 'co63oc', '2024-06-24']
['batch_fc_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/batch_fc_grad_kernel.cu', 'co63oc', '2024-06-24']
['batch_norm_double_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/batch_norm_grad_kernel.cu', 'hong', '2022-03-03']
['beam_search', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/beam_search_kernel.cu', 'co63oc', '2024-06-20']
['beam_search_decode', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/beam_search_decode_kernel.cu', 'co63oc', '2024-07-02']
['bilinear_interp', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/gpu/interpolate_kernel.cu', 'chentianyu03', '2022-04-01']
