['accuracy', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/accuracy_kernel.cc', 'haosicheng', '2023-05-05']
['add_n_array', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/add_n_kernel.cc', 'enzodechine', '2024-09-23']
['addmm', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/addmm_kernel.cc', 'RuohengMa', '2024-10-10']
['addmm_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/addmm_grad_kernel.cc', 'RuohengMa', '2024-10-10']
['affine_channel', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/affine_channel_kernel.cc', 'co63oc', '2024-06-20']
['affine_channel_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/affine_channel_grad_kernel.cc', 'co63oc', '2024-06-20']
['all_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/reduce_all_kernel.cc', 'Jianbang Yang', '2024-04-18']
['all_reduce', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/all_reduce_kernel.cc', 'co63oc', '2024-08-14']
['any_raw', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/reduce_any_kernel.cc', 'RuohengMa', '2023-05-12']
['arange_tensor', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/arange_kernel.cc', 'zhangyikun02', '2022-09-01']
['beam_search', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/beam_search_kernel.cc', 'co63oc', '2024-06-20']
['beam_search_decode', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/beam_search_decode_kernel.cc', 'co63oc', '2024-07-02']
['bitwise_and', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/bitwise.cc', 'RuohengMa', '2023-01-06']
['bitwise_or', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/bitwise.cc', 'lijin23', '2023-05-24']
['c_concat', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_concat_kernel.cc', 'ZhenxingLi', '2024-10-24']
['c_embedding', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_embedding_kernel.cc', 'Ruibin Cheung', '2023-08-16']
['c_embedding_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_embedding_kernel_grad.cc', 'Ruibin Cheung', '2023-08-16']
['c_identity', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_identity_kernel.cc', 'Wang Xin', '2023-08-23']
['c_softmax_with_cross_entropy', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_softmax_with_cross_entropy_kernel.cc', 'Function-Samuel', '2024-12-13']
['c_softmax_with_cross_entropy_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_softmax_with_cross_entropy_grad_kernel.cc', 'Function-Samuel', '2024-12-13']
['c_split', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/c_split_kernel.cc', 'Ruibin Cheung', '2023-08-22']
['cast', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/cast_kernel.cc', 'chentianyu03', '2022-01-26']
['clip_by_norm', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/clip_by_norm_kernel.cc', 'zhangyikun02', '2023-03-29']
['comm_init_all', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/comm_init_all_kernel.cc', 'co63oc', '2024-08-21']
['contiguous', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/contiguous_kernel.cc', 'wanghuancoder', '2023-07-31']
['cumprod', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/cumprod_kernel.cc', 'ykkk2333', '2023-03-30']
['depthwise_conv2d_transpose', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/conv_transpose_kernel.cc', 'Ruibiao Chen', '2022-08-26']
['depthwise_conv2d_transpose_grad', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/conv_transpose_grad_kernel.cc', 'Ruibiao Chen', '2022-08-26']
['dequantize_xpu', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/dequantization_kernel.cc', 'csy0225', '2023-10-26']
['einsum_infer', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/einsum_kernel.cc', 'ykkk2333', '2023-01-09']
['elu', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/activation_kernel.cc', 'houj04', '2023-12-01']
['eye', 'https://github.com/PaddlePaddle/Paddle/blob/develop/paddle/phi/kernels/xpu/eye.cc', 'RuohengMa', '2024-09-03']
